Ano;Em branco/IGN;<1 Ano;1-4 anos;5-9 anos;10-14 anos;15-19;20-39;40-59;60-64;65-69;70-79;80 e +;Total
2001;154;305;1156;882;1305;5860;39407;27398;3579;2667;3326;1198;87237
2002;171;429;1060;991;1355;5836;41800;29441;3784;2983;3615;1379;92844
2003;149;485;1005;866;1372;5758;42303;29951;3884;2969;3661;1343;93746
2004;100;420;944;858;1278;5678;42053;29926;3800;2950;3605;1354;92966
2005;81;398;853;897;1287;5552;41438;29893;3772;2921;3611;1342;92045
2006;41;363;758;708;1133;4929;38120;28152;3365;2724;3354;1351;84998
2007;10;367;743;700;1218;4774;38097;27813;3514;2642;3341;1304;84523
2008;7;360;692;648;1278;4816;39469;28674;3548;2641;3312;1287;86732
2009;16;384;719;599;1242;4773;39439;28330;3589;2698;3230;1279;86298
2010;8;366;590;550;1121;4608;38815;28279;3612;2639;3457;1313;85358
2011;75;340;559;581;1276;4911;39431;29005;3895;2732;3549;1448;87802
2012;102;336;574;550;1087;4897;38895;28470;3959;2602;3387;1317;86176
2013;116;393;605;558;1102;4931;38648;28357;3910;2809;3386;1393;86208
2014;89;360;533;486;1006;4809;38400;27960;4100;2770;3382;1315;85210
2015;29;369;530;448;928;4910;38742;27572;4192;2867;3519;1346;85452
2016;22;410;551;467;908;4913;39399;27172;4400;3053;3386;1526;86207
2017;45;380;573;490;980;5141;42002;27848;4620;3233;3738;1544;90594
2018;40;425;645;580;1068;5168;44063;29098;4759;3261;3872;1561;94540
2019;41;475;672;641;1051;5141;44443;29453;4919;3559;3963;1630;95988
2020;50;457;385;457;824;4232;40624;26901;4451;3223;3593;1354;86551
2021;54;483;499;479;983;4414;41959;29040;4833;3556;4006;1582;91888
2022;45;231;376;302;517;2347;22093;15528;2792;2070;2257;948;49506
 ;;;;;;;;;;;;;
